,age,duree_paiement,taux,duree_rente,type_prime,produit
109,47,7,0.04142910859855569,3,MENSUEL,NSIA-ETUDES
110,48,7,0.04163659211276203,3,MENSUEL,NSIA-ETUDES
111,49,7,0.04185134355075209,3,MENSUEL,NSIA-ETUDES
112,50,7,0.04207666928012356,3,MENSUEL,NSIA-ETUDES
113,51,7,0.04231758478702907,3,MENSUEL,NSIA-ETUDES
114,52,7,0.04257715003319686,3,MENSUEL,NSIA-ETUDES
115,53,7,0.042862486484218254,3,MENSUEL,NSIA-ETUDES
116,54,7,0.04318460879305283,3,MENSUEL,NSIA-ETUDES
117,55,7,0.04355421490431088,3,MENSUEL,NSIA-ETUDES
118,56,7,0.04398849023223016,3,MENSUEL,NSIA-ETUDES
119,57,7,0.04450576035083476,3,MENSUEL,NSIA-ETUDES
120,58,7,0.04509391266663669,3,MENSUEL,NSIA-ETUDES
121,59,7,0.04575620147038248,3,MENSUEL,NSIA-ETUDES
122,60,7,0.04647445047186731,3,MENSUEL,NSIA-ETUDES
123,20,8,0.033491253940822543,3,MENSUEL,NSIA-ETUDES
124,21,8,0.03351393784398239,3,MENSUEL,NSIA-ETUDES
125,22,8,0.03353414656225377,3,MENSUEL,NSIA-ETUDES
126,23,8,0.03355566487046361,3,MENSUEL,NSIA-ETUDES
127,24,8,0.03357981012534978,3,MENSUEL,NSIA-ETUDES
128,25,8,0.03360610704192774,3,MENSUEL,NSIA-ETUDES
129,26,8,0.03363531285327653,3,MENSUEL,NSIA-ETUDES
130,27,8,0.033666649130281605,3,MENSUEL,NSIA-ETUDES
131,28,8,0.03370139024838168,3,MENSUEL,NSIA-ETUDES
132,29,8,0.03374168036621581,3,MENSUEL,NSIA-ETUDES
133,30,8,0.03378888918144285,3,MENSUEL,NSIA-ETUDES
134,31,8,0.033846366885423806,3,MENSUEL,NSIA-ETUDES
135,32,8,0.033918191789382095,3,MENSUEL,NSIA-ETUDES
136,33,8,0.034003621405203556,3,MENSUEL,NSIA-ETUDES
137,34,8,0.03410227426729598,3,MENSUEL,NSIA-ETUDES
138,35,8,0.034212099692573335,3,MENSUEL,NSIA-ETUDES
139,36,8,0.03433731894313919,3,MENSUEL,NSIA-ETUDES
140,37,8,0.03447811566249286,3,MENSUEL,NSIA-ETUDES
141,38,8,0.03463755846639917,3,MENSUEL,NSIA-ETUDES
142,39,8,0.034815973060310874,3,MENSUEL,NSIA-ETUDES
143,40,8,0.03501177464747574,3,MENSUEL,NSIA-ETUDES
144,41,8,0.03522222365554643,3,MENSUEL,NSIA-ETUDES
145,42,8,0.035440314408756564,3,MENSUEL,NSIA-ETUDES
146,43,8,0.03566568605762503,3,MENSUEL,NSIA-ETUDES
147,44,8,0.03589442595656765,3,MENSUEL,NSIA-ETUDES
148,45,8,0.036124527597215926,3,MENSUEL,NSIA-ETUDES
149,46,8,0.03635348138988431,3,MENSUEL,NSIA-ETUDES
150,47,8,0.036582945472376054,3,MENSUEL,NSIA-ETUDES
151,48,8,0.03681704469093523,3,MENSUEL,NSIA-ETUDES
152,49,8,0.03705986850043447,3,MENSUEL,NSIA-ETUDES
153,50,8,0.037315830855430276,3,MENSUEL,NSIA-ETUDES
154,51,8,0.037592278139558885,3,MENSUEL,NSIA-ETUDES
155,52,8,0.03789400542949193,3,MENSUEL,NSIA-ETUDES
156,53,8,0.03822947933301496,3,MENSUEL,NSIA-ETUDES
157,54,8,0.03860969887725576,3,MENSUEL,NSIA-ETUDES
158,55,8,0.039046182611043,3,MENSUEL,NSIA-ETUDES
159,56,8,0.03955444421655209,3,MENSUEL,NSIA-ETUDES
160,57,8,0.04015227606384475,3,MENSUEL,NSIA-ETUDES
161,58,8,0.04082874121631543,3,MENSUEL,NSIA-ETUDES
162,59,8,0.04158606557007935,3,MENSUEL,NSIA-ETUDES
163,60,8,0.04240489070438146,3,MENSUEL,NSIA-ETUDES
164,20,9,0.02946512562167129,3,MENSUEL,NSIA-ETUDES
165,21,9,0.029490250422097092,3,MENSUEL,NSIA-ETUDES
166,22,9,0.02951312915238006,3,MENSUEL,NSIA-ETUDES
167,23,9,0.029537378128727372,3,MENSUEL,NSIA-ETUDES
168,24,9,0.02956437148402757,3,MENSUEL,NSIA-ETUDES
169,25,9,0.029594020372941454,3,MENSUEL,NSIA-ETUDES
170,26,9,0.029627455915780487,3,MENSUEL,NSIA-ETUDES
171,27,9,0.029664134741020646,3,MENSUEL,NSIA-ETUDES
172,28,9,0.02970528937230225,3,MENSUEL,NSIA-ETUDES
173,29,9,0.029753133110059404,3,MENSUEL,NSIA-ETUDES
174,30,9,0.029809023714725925,3,MENSUEL,NSIA-ETUDES
175,31,9,0.029876428194667844,3,MENSUEL,NSIA-ETUDES
176,32,9,0.029959540192483435,3,MENSUEL,NSIA-ETUDES
177,33,9,0.03005792660629353,3,MENSUEL,NSIA-ETUDES
178,34,9,0.030171400138013848,3,MENSUEL,NSIA-ETUDES
179,35,9,0.030297831184491714,3,MENSUEL,NSIA-ETUDES
180,36,9,0.030441350415792347,3,MENSUEL,NSIA-ETUDES
181,37,9,0.030602014543923434,3,MENSUEL,NSIA-ETUDES
182,38,9,0.03078258302912204,3,MENSUEL,NSIA-ETUDES
183,39,9,0.030982848283118185,3,MENSUEL,NSIA-ETUDES
184,40,9,0.03120072342092442,3,MENSUEL,NSIA-ETUDES
